property_name,price,location,area,bathrooms,beds
منزل للإيجار ولاية بركاء(الجحيلة) موقع ممتاز,OMR 155,"Barka, Al Batinah•",200 SQM,3,2
House shiffting service all Muscat oman and Dubai to oman Muscat,OMR 120Negotiable,"Al Mawaleh, Muscat•",98 SQM,5,4
House shiffting service all Muscat oman and Dubai to Muscat oman,OMR 70Negotiable,"Barka, Al Batinah•",65 SQM,3,2
room for rent - azaiba,OMR 120Negotiable,"Azaiba, Muscat•",44 SQM,1,1
فيلا لإيجار بالموالح الجنوبية,OMR 600Negotiable,"Al Mawaleh, Muscat•",320 SQM,6,6
"Attached Room for Rent 45OMR,  contact 94530270",OMR 45,"Sur, Al Sharqiya•",30 SQM,1,1
شقة مفروشة للايجار مسقط المعبيلة الجنوبيه شاكله كهرباء ماء نت,OMR 220,"Al Maabilah, Muscat•",120 SQM,2,2
1 Bedroom apartment for Rent in Al Mabailah,OMR 140,"Al Maabilah, Muscat•",55 SQM,1,1
78 sm2 2 Bedroom apartment,OMR 190Negotiable,"Al Seeb, Muscat•",78 SQM,3,2
"separate room & bathroom in shrd apartment rent 70 + WiFi, EB and watr",OMR 70,"Ghala, Muscat•",10 SQM,1,1
شقه مفروشه للايجار لمده شهر واحد شامل الفواتير بشارع البركات,OMR 220,"Al Hail, Muscat•",110 SQM,2,1
Furnished room available for Rent in Wadi Adai,OMR 75Negotiable,"Muscat - Other, Muscat•",100 SQM,1,1
Rooms for rent in Al Hail South near highway free WiFi,OMR 78,"Al Hail, Muscat•",16 SQM,1,1
شقق للايجار سكنى تجارى بموقع ممتاز بشارع المها,OMR 230,"Al Khuwair, Muscat•",90 SQM,2,2
شقه مفروشه للعائلات فقط للإيجار الشهرى,OMR 290,"Al Khuwair, Muscat•",60 SQM,2,1
فيلا دورين للإيجار اليومي عشان خريف في صحلنوت الجنوبيه,OMR 75,"Salalah, Dhofar•",500 SQM,6,6
al hail north,OMR 160Negotiable,"Al Hail, Muscat•",136 SQM,3,2
شقه وسويت شاغر من 7/26 الشقه شاغر من 8/6,OMR 25,"Salalah, Dhofar•",80 SQM,2,2
includes electric bill my whats ap no is 78107721,OMR 25,"Al Hamriyah, Muscat•",10 SQM,1,1
شقه للايجار ف نزوى قريب السوق,OMR 110,"Nizwa, Al Dakhiliya•",80 SQM,2,2
Room for rent,OMR 55,"Muscat - Other, Muscat•","3,358 SQM",1,1
سوق السيب,OMR 200,"Al Seeb, Muscat•",60 SQM,2,2
Bed space,OMR 25,"Ruwi, Muscat•",100 SQM,1,2
Millennium Studio,OMR 50Negotiable,"Salalah, Dhofar•",32 SQM,1,1
منزل الايجار بصحم ديل ال عبدالسلام,OMR 150Negotiable,"Saham, Al Batinah•",90 SQM,1,2
House shiffting professional carpenter service,OMR 70Negotiable,"Ansab, Muscat•",68 SQM,3,2
استراحة وقاعة للمناسبات والأيجار اليومي,OMR 250Negotiable,"Bidbid, Al Dakhiliya•",440 SQM,4,3
stodio flat at alkhwier near sager hospital,OMR 135,"Al Khuwair, Muscat•",75 SQM,1,1
شقق متوفره في عوقد,OMR 50,"Salalah, Dhofar•",10 SQM,2,3
3 BHK Flat for Rent in CBD Area RUWI Muscat,OMR 275,"Ruwi, Muscat•",150 SQM,3,3
Office space for Rent in Al Khuwair,OMR 550,"Al Khuwair, Muscat•",120 SQM,Not specified,Not specified
استراحة في ايتين موقع مميز,OMR 50,"Salalah, Dhofar•",200 SQM,1,1
موالح جنوبيه,OMR 525,"Al Mawaleh, Muscat•",300 SQM,5,5
فيلا راقيه للإيجار اليومي مفروشه سوبر لوكس في صلاله,OMR 100Negotiable,"Salalah, Dhofar•",300 SQM,5,4
شقق للإيجار,OMR 50Negotiable,"Salalah, Dhofar•",28 SQM,2,4
شالية الموالح,OMR 50Negotiable,"Al Mawaleh, Muscat•",200 SQM,1,1
بوهيمي شالية,OMR 50,"Al Amarat, Muscat•",300 SQM,2,2
شقة  للايجار( المعبيله الجنوبيه),OMR 150,"Al Maabilah, Muscat•",108 SQM,3,3
Villa available opposit of Star Cinema,OMR 400Negotiable,"Ruwi, Muscat•",200 SQM,3,6
خريف صلالة٢٠٢٥,OMR 65,"Salalah, Dhofar•",130 SQM,2,2
You will always get room,OMR 80Negotiable,"Barka, Al Batinah•",50 SQM,2,3
Stylish Apartment with Opera & Ocean Views – Available Now in Al Qurum,OMR 400,"Qurum, Muscat•",125 SQM,2,2
Apartment for rent in Ghala - شقة للإيجار في مرتفعات غلا,OMR 240Negotiable,"Ghala, Muscat•",70 SQM,2,1
Spacious commercial villa At Madinat Qaboos,"OMR 1,500","Madinat As Sultan Qaboos, Muscat•",200 SQM,4,7
room for rent in Alhail,OMR 130,"Al Hail, Muscat•",30 SQM,1,1
Room for rent Alkuwair near children's park. Exicutive Batchelder only,OMR 120,"Al Khuwair, Muscat•",15 SQM,1,1
room for rent in Alhail,OMR 85,"Al Hail, Muscat•",25 SQM,1,1
2bhk clean and neat flat with wifi free Water and electric is prepaid,OMR 230Negotiable,"Al Ghubrah, Muscat•","1,000 SQM",3,3
Room for Rent,OMR 95,"Al Mawaleh, Muscat•",12 SQM,1,1
room for rent for bachelor lady,OMR 110,"Al Ghubrah, Muscat•",150 SQM,2,3
shop for sale good customer good income any person need  call me,"OMR 2,200","Al Amarat, Muscat•",10 SQM,Not specified,Not specified
industrial land 2160 sqm in Al Wasit,"OMR 2,500Negotiable","Barka, Al Batinah•","2,160 SQM",Not specified,Not specified
فيلا مستقلة للإيجار اليومي بصحنوت,OMR 70,"Salalah, Dhofar•",340 SQM,3,4
New Villa for Rent in Barka – North Al-Sumhan,OMR 400,"Barka, Al Batinah•",314 SQM,6,5
شقة للايجار على شارع 18 نوفمبر,OMR 490Negotiable,"Al Ghubrah, Muscat•",100 SQM,4,4
exicutive room for ladies and family,OMR 90Negotiable,"Ruwi, Muscat•","12,000 SQM",1,1
ارض صناعية بركا السقسوق للإيجار  Industrial open Land for Rent Saqsoq,OMR 350Negotiable,"Barka, Al Batinah•","1,000 SQM",Not specified,Not specified
غرفة في الخوير,OMR 85,"Al Khuwair, Muscat•",20 SQM,1,1
VILLA FOR RENT JUST 190.000 OMR,OMR 190Negotiable,"Al Amarat, Muscat•","15,000 SQM",5,4
rooms for rent,OMR 120Negotiable,"Barka, Al Batinah•",500 SQM,2,2
shared accommodation in Al khuwair,OMR 40,"Al Khuwair, Muscat•",120 SQM,3,3
للإيجار فلا في المعبيلة الثامنة,OMR 450,"Al Maabilah, Muscat•",330 SQM,8,6
Fully furnished studio room for rent al ghubrah naer 18th Nov street,OMR 235Negotiable,"Azaiba, Muscat•",35 SQM,1,1
commercial advertisement,OMR 300Negotiable,"Al Khuwair, Muscat•",164 SQM,Not specified,Not specified
غرفه للايجار في العامرات المنطقه الي خلف شل بجنب الولو,OMR 65,"Al Amarat, Muscat•",100 SQM,1,1
ارض ركنية سكنية للاستثمار بموقع ممتاز بالسعادة,"OMR 2,000","Salalah, Dhofar•","7,500 SQM",Not specified,Not specified
Qurum Park NEARBY LOCATED BABA SALEEM SHAWARMA COFFEE SHOP ROOM FOR RE,OMR 79,"Qurum, Muscat•",66 SQM,1,1
منزل ٣ غرف ٣حمامات صالة ومطبخ مفروش بالوادي,OMR 35,"Salalah, Dhofar•",450 SQM,3,3
Furnished 3BHK for daily rent near Al Nahda Tower شقة مفروشة للإيجار ا,OMR 50Negotiable,"Salalah, Dhofar•",150 SQM,2,3
3÷1 bedrooms in Al seeb,OMR 550,"Al Seeb, Muscat•",250 SQM,5,4
industrial land for rent 1500mtr sohar أرض صناعيةزاويةصحارللايجار,OMR 390Negotiable,"Sohar, Al Batinah•","1,500 SQM",Not specified,Not specified
شقه للايجار غرفتين في صحلنوت السعر 25 ريال,"OMR 2,500","Salalah, Dhofar•",90 SQM,2,2
شقة للايجار 35 ريال,OMR 50,"Salalah, Dhofar•",300 SQM,1,3
محل تجاري في الهمبار للايجار,OMR 60,"Sohar, Al Batinah•",18 SQM,Not specified,Not specified
محلات,OMR 370,"Al Maabilah, Muscat•",800 SQM,Not specified,Not specified
1 bed space available in wadi adai big room with attached wahsroom,OMR 25,"Al Hamriyah, Muscat•","1,000 SQM",1,1
Room For Rent,OMR 140Negotiable,"Al Ghubrah, Muscat•",170 SQM,1,1
عوقد الشماليه,OMR 50,"Salalah, Dhofar•",120 SQM,2,3
35 OR شقة للايجار في الدهاريز الجنوبية صلالة,OMR 50,"Salalah, Dhofar•",85 SQM,2,2
شارع مازون خلف مدرسة الموهبة الخاصة الموالح Al Rayan Chale AL Mawaleh,OMR 50Negotiable,"Al Mawaleh, Muscat•",250 SQM,1,1
شقة فاخرة للايجار مسقط هيلز the pearl muscat,OMR 320,"Muscat Hills, Muscat•",73 SQM,2,1
ڤلة جديدة للإيجار في الباطنة صحار,OMR 280,"Sohar, Al Batinah•",170 SQM,4,4
شقة مفروشة للإيجار في صلالة الجديدة,OMR 50,"Salalah, Dhofar•",100 SQM,2,3
House fully renovated for rent in al Ghubrah South,OMR 600,"Bosher, Muscat•",190 SQM,3,3
Studio Apartment for Rent in Sandan City - Halban,OMR 80Negotiable,"Barka, Al Batinah•",48 SQM,1,Studio
Sharing room near Rusayl garden for South indian Bachelors .,OMR 60,"Al Mawaleh, Muscat•",700 SQM,1,1
"New villas for rent in Al Khuwairiyah, close to Sohar Port",OMR 230,"Sohar, Al Batinah•",200 SQM,3,3
ONE Room for rent in a nice villa for a SINGLE profesional,OMR 150,"Al Hail, Muscat•",300 SQM,4,4
"2 & 3 bhk flat for rent in alkhuwair, Qurum",OMR 270,"Al Khuwair, Muscat•",150 SQM,2,2
شقق واسعه في حماسه,OMR 70Negotiable,"Al Buraimi, Al Buraimi•",80 SQM,2,2
Office  store & showroom for rent in Alkhuwair & shatil qurum,OMR 400,"Al Khuwair, Muscat•",200 SQM,Not specified,Not specified
شقة مفروشة للإيجار الشهري في السيب,OMR 90,"Al Seeb, Muscat•",90 SQM,1,1
1bhk full furnished flat for rent,OMR 300,"Bosher, Muscat•",65 SQM,2,1
شقة عائلية للإيجار,OMR 70,"Salalah, Dhofar•",250 SQM,4,4
Flat for rent,OMR 110Negotiable,"Mutrah, Muscat•",111 SQM,1,1
شقق وفلل للإيجار,OMR 50,"Salalah, Dhofar•",200 SQM,3,3
Bad space available,OMR 22,"Al Ghubrah, Muscat•",200 SQM,1,1
شفة مفروشة للإيجار اليومي,OMR 50Negotiable,"Salalah, Dhofar•",200 SQM,3,3
Room for rent opposite Al Bandeŕ LULU,OMR 85Negotiable,"Al Khoud, Muscat•",15 SQM,1,1
Big Furnished rooms Studio 1BHK flats near Makkah hypkt lulu just120,OMR 120,"Al Ghubrah, Muscat•","5,200 SQM",1,1
"Furnished rooms 120 studio 150 1bhk 180, 200 lulu Makah hypmkt Ghubra",OMR 120,"Al Ghubrah, Muscat•","6,000 SQM",2,1
Fully Furnished Apartment with 2-bed space Avilable excutive Bachelors,OMR 65Negotiable,"Azaiba, Muscat•",75 SQM,2,2
Fully Furnished Apartment with 2-bed space Avilable excutive Bachelors,OMR 65,"Ghala, Muscat•",75 SQM,2,3
LAND COMMERCIAL RENT in BARKA,"OMR 1,500","Barka, Al Batinah•","30,000 SQM",Not specified,Not specified
مطلوب للشراء بناية عبارة محلات تجارية ومكاتب,"OMR 500,000","Al Seeb, Muscat•","100,000 SQM",Not specified,Not specified
شقة للايجار معبيلة جنب دوار الصفاء موقع ممتاز,OMR 160,"Al Maabilah, Muscat•",100 SQM,2,2
1BHK for Rent in Shaden Alhail شقة غرفة وصالة للإيجار في شدن الحيل,OMR 220,"Al Hail, Muscat•","100,080 SQM",2,1
1BHK Apartment in Shaden Al Hail Complex,OMR 200,"Al Hail, Muscat•",121 SQM,Not specified,Not specified
NICE RESTAURANT FOR RENT. مطعم للتنازل يكافة محتوياته مع السجل التجاري,"OMR 7,500Negotiable","Azaiba, Muscat•",150 SQM,Not specified,Not specified
للإيجار: غرف للموظفات فقط,OMR 120,"Al Khoud, Muscat•",10 SQM,3,3
3 seater Sofa with 2 pilows  for sale immediately 20 OMR last price,OMR 20,"Al Ghubrah, Muscat•",10 SQM,1,1
room for rent in Maabilah,OMR 80,"Al Maabilah, Muscat•",40 SQM,1,1
العذيبه الشماليه /مسقط,OMR 350,"Azaiba, Muscat•",190 SQM,3,3
House shiffting service all Muscat oman and Dubai to oman Muscat,OMR 75Negotiable,"Al Seeb, Muscat•",98 SQM,3,2
فيلا للايجار في دارسيت قرب بلدية مسقط vlia,OMR 400Negotiable,"Darsait, Muscat•",315 SQM,6,5
Bedroom for Rent- Unfurnished,OMR 120Negotiable,"Al Khuwair, Muscat•",20 SQM,1,1
غرف مفروشه واستوديوهات غير مفروشه الموالح الجنوبيه,OMR 120,"Al Seeb, Muscat•",30 SQM,1,1
فيلا راااااقية  الموقع والخدمات بالسعادة الجنوبية,OMR 90,"Salalah, Dhofar•",400 SQM,5,5
فيلا روووووعة الموقع والخدمات,OMR 90,"Salalah, Dhofar•",400 SQM,4,6
الخوير,OMR 50,"Al Khuwair, Muscat•",100 SQM,2,2
Room for Rent with Shared Gym and Fully Furnished in Ghala,OMR 130Negotiable,"Ghala, Muscat•",25 SQM,1,1
in Alkhoud Suq bed space available for rent,OMR 25,"Al Khoud, Muscat•",50 SQM,1,1
Bed space available for rent,OMR 25,"Al Khoud, Muscat•",50 SQM,1,1
مطلوب بيت للايجار,OMR 200,"Barka, Al Batinah•",300 SQM,5,5
شقة للإيجار خريف صلالة,OMR 60,"Salalah, Dhofar•",130 SQM,2,2
Flat for rent excellent location in Ruwi,OMR 180,"Ruwi, Muscat•",110 SQM,3,2
single room available in gala near Al karama hyper market,OMR 105,"Bosher, Muscat•",50 SQM,1,1
Wadi Adair Semi Furnish Room For Single Working Lady,OMR 80,"Ruwi, Muscat•",25 SQM,1,1
Family room,OMR 90Negotiable,"Al Hamriyah, Muscat•",60 SQM,1,1
room available in mwalah shooq,OMR 75,"Al Mawaleh, Muscat•",123 SQM,1,1
فله للإيجار,OMR 888,"Salalah, Dhofar•",660 SQM,9,9
Hawana Salalah One Bedroom Apartment For 60 per day,OMR 350,"Taqah, Dhofar•",65 SQM,1,1
صحلنوت أ فله راقيه  للإيجار خريف صلاله,OMR 140,"Salalah, Dhofar•",400 SQM,6,5
"For Rent - 2-bedroom duplex home behind Indian School, Al Mabelah.",OMR 190,"Al Maabilah, Muscat•",150 SQM,2,2
bed space 35,OMR 35,"Al Khuwair, Muscat•","35,558 SQM",1,1
Single furnished Room for rent,OMR 100,"Al Khuwair, Muscat•",10 SQM,1,1
2 BHK Flat For Rent in Qurum-Al Sarooj,OMR 400Negotiable,"Qurum, Muscat•",110 SQM,2,2
5 Bedroom with Majlis Commercial Villa for Rent at Shatti AL Qurum,"OMR 1,300","Qurum, Muscat•",325 SQM,Not specified,Not specified
2 bedroom new Apartment for rent and for sale,OMR 390Negotiable,"Al Hail, Muscat•",100 SQM,2,2
ROOMS  FOR RENT  (separate),OMR 115,"Al Khuwair, Muscat•","123,456 SQM",3,2
ملحق الايجار في السيب,OMR 220,"Al Seeb, Muscat•",100 SQM,3,3
Furnish Room For Single Bachlor Rent 95 Wadi Kabir,OMR 95,"Al Wadi Al Kabir, Muscat•",30 SQM,1,1
فيلا دورين الدور الارضى لتاجير,OMR 150,"Salalah, Dhofar•",300 SQM,4,4
Partation room for rent,OMR 80,"Al Khuwair, Muscat•",45 SQM,1,1
Azaiba villa,OMR 600,"Azaiba, Muscat•",500 SQM,5,4
sharing room,OMR 65,"Al Wadi Al Kabir, Muscat•",250 SQM,1,1
جنوب الباطنة . بركاء,OMR 50,"Barka, Al Batinah•",200 SQM,2,4
Deluxe King Room For Rent,OMR 16Negotiable,"Al Khoud, Muscat•",29 SQM,1,1
villa for rent in Mawaleh- Seeb,OMR 550,"Al Mawaleh, Muscat•",601 SQM,6,5
Economy Room With Twin Beds For Rent,OMR 13Negotiable,"Al Khoud, Muscat•",30 SQM,1,1
فيلا للإيجار ف صحلنوت,OMR 200Negotiable,"Salalah, Dhofar•",635 SQM,8,7
Room for rent in Al Hail near shell and muscat pharmacy,OMR 100,"Al Hail, Muscat•",140 SQM,1,1
غرفه مع حمام ولوبي مطل ع البحر,OMR 18,"Ja'alan Bani Bu Ali, Al Sharqiya•",40 SQM,1,1
غرفة وحمام بالخوير خلف مجمع الياسمين وقريب لندن,OMR 130,"Al Khuwair, Muscat•",45 SQM,1,1
Room for rent,OMR 125,"Sadab, Muscat•",20 SQM,1,1
flat for rent in wadi alkabeer,OMR 170Negotiable,"Al Wadi Al Kabir, Muscat•",150 SQM,2,2
mob 91230475 Alamerat cheapest shops for rent,OMR 55,"Al Amarat, Muscat•",18 SQM,Not specified,Not specified
غرف وشقق واستديوهات مفروش وبدون فرش بالخوير٣٣خلف مطعم الضيعه اللبنانيه,"OMR 1,140","Al Khuwair, Muscat•",60 SQM,1,1
Room for rent opposite Ceasar hotel in al Khuwair,OMR 100,"Al Khuwair, Muscat•",10 SQM,1,1
Room with attached toilet for rent opposite Ceasar hotel Al Khuwair,OMR 160,"Al Khuwair, Muscat•",160 SQM,1,1
مكان  قرب الموج الموالح الشماليه,OMR 180,"Al Seeb, Muscat•",120 SQM,1,1
Room rent mob 99607462 call this no pls,OMR 70Negotiable,"Ruwi, Muscat•",70 SQM,1,1
House shiffting service all Muscat oman and Dubai to Muscat Oman,OMR 50Negotiable,"Darsait, Muscat•",68 SQM,3,2
bed space available,OMR 30,"Ruwi, Muscat•",60 SQM,1,1
Shared Accomadation in Ghala Al Nadha Tower,OMR 150Negotiable,"Ghala, Muscat•",10 SQM,1,1
محل للايجار بمدينة العرفان,OMR 500Negotiable,"Muscat Hills, Muscat•",41 SQM,Not specified,Not specified
غـرفـة للايجار في المعبيلة الجنوبية,OMR 100,"Al Seeb, Muscat•",20 SQM,1,1
Big Size double room  for rent غرفة مزدوجة كبيرة الحجم متاحة للإيجار,OMR 90,"Al Khoud, Muscat•",30 SQM,1,1
منزل للايجار سيح ظبي ٣,OMR 140,"Al Amarat, Muscat•",350 SQM,1,2
استديو عائلي في وادي عدي Family studio in wadi adai 60 OMR,OMR 60,"Mutrah, Muscat•",65 SQM,1,Studio
مركز العذيبة العقاري,"OMR 1,000","Bidbid, Al Dakhiliya•","4,000 SQM",Not specified,Not specified
غرفة للايجار بجوار ابو طحنون صحلنوت الشماليه,OMR 50,"Salalah, Dhofar•",60 SQM,1,1
غرفة وحمام في الغبره الجنوبية  room South Al-Ghubra,OMR 150,"Al Ghubrah, Muscat•",50 SQM,1,1
Industrial Land for Rent in Ghala,"OMR 3,500Negotiable","Ghala, Muscat•","3,300 SQM",Not specified,Not specified
2BHK Furnished-flat for Rent,OMR 500Negotiable,"Qurum, Muscat•",132 SQM,3,2
Room with attached bathroom for working ladies,OMR 75Negotiable,"Al Hail, Muscat•",30 SQM,1,1
Hotel Apartment for Rent with free Wifi n Parking,OMR 50Negotiable,"Al Ghubrah, Muscat•",700 SQM,2,2
صلالة المعتزة بالقرب من حديقه صلالة العامة,OMR 16,"Salalah, Dhofar•",300 SQM,1,1
Shop for rent in AMRAT AL MAHAJ,OMR 80Negotiable,"Al Amarat, Muscat•",33 SQM,Not specified,Not specified
Two bedrooms apartment for rent,OMR 270Negotiable,"Al Ghubrah, Muscat•",110 SQM,3,2
Family members Shering Room,OMR 80Negotiable,"Ruwi, Muscat•",52 SQM,1,1
Family Room Sharing Ruwi,OMR 80Negotiable,"Ruwi, Muscat•",152 SQM,1,1
Family Room Ruwi,OMR 80Negotiable,"Ruwi, Muscat•",152 SQM,1,1
Room available ghunrah near Emirates gift market,OMR 130,"Al Ghubrah, Muscat•",100 SQM,1,1
"Flat for Rent – 2 Rooms, 2 Bathrooms, 1 Kitchen",OMR 10Negotiable,"Al Duqum, Al Wusta•",100 SQM,2,2
3bhk flat for rent,OMR 400,"Al Ghubrah, Muscat•",10 SQM,3,3
شقق 3غرف واستوديو خط اول بالقرب من واجهة الشاطي الأسعار تتفاوت,"OMR 3,520","Salalah, Dhofar•",100 SQM,2,3
غرفه كبيره vip مع دوره مياه العامرات الخامسه,OMR 110,"Al Amarat, Muscat•",100 SQM,1,1
1 bedroom flat in good condition for rent directly from owner من مالك,OMR 500Negotiable,"The Wave (Almouj), Muscat•",110 SQM,2,1
3 bedroom aparment for rent commercial,OMR 350,"Azaiba, Muscat•",150 SQM,3,3
small room,OMR 50,"Al Ghubrah, Muscat•",60 SQM,1,1
"1BHK FLAT FOR RENT IN RUWI-CBD,MUSCAT.",OMR 140Negotiable,"Ruwi, Muscat•","2,076 SQM",1,1
فرصة استثمارية نادرة في قلب الخوير - مسقط,"OMR 1,500","Al Khuwair, Muscat•",800 SQM,8,9
FLAT FOR RENT,OMR 300,"Ruwi, Muscat•",140 SQM,3,3
Bed Space Available-Ghubra,OMR 60,"Al Ghubrah, Muscat•",12 SQM,1,1
Showroom / Shop for Rent near Bank Dhofar,OMR 660,"Al Maabilah, Muscat•",43 SQM,Not specified,Not specified
BUILDING 104 للايجار محل العوهي الصناعية,OMR 75,"Sohar, Al Batinah•",60 SQM,Not specified,Not specified
"Prime Commercial Space for Rent(office,shops & store)",OMR 450Negotiable,"Bosher, Muscat•",109 SQM,Not specified,Not specified
Shop For Rent,OMR 200,"Bosher, Muscat•",28 SQM,Not specified,Not specified
إيجار يومي بصلاله,OMR 50,"Salalah, Dhofar•",100 SQM,2,2
Shop for rent. BIG COMMERCIAL SPACE FOR RENT IN BARKA FULLY EQUIPPED,OMR 495Negotiable,"Barka, Al Batinah•",275 SQM,Not specified,Not specified
Bed Space OMR 45.000,OMR 45Negotiable,"Al Wadi Al Kabir, Muscat•",100 SQM,1,1
شقة للايجار في بوشر,OMR 150,"Bosher, Muscat•",80 SQM,1,1
شقة للايجار اليومي ٢٥ ريال للعوائل,OMR 50,"Salalah, Dhofar•",100 SQM,1,2
Room for Rent (for kabayan),OMR 100Negotiable,"Al Hail, Muscat•",15 SQM,1,1
العامرات المحج,OMR 120,"Al Amarat, Muscat•",34 SQM,Not specified,Not specified
للايجار فيلا   for rent villa,OMR 300,"Al Amarat, Muscat•",555 SQM,6,6
Lexuary 2 Bedroom Apartment at Muscat Hills,OMR 400,"Muscat Hills, Muscat•",140 SQM,3,2
flat in salalah Daliy  شقق في صلالة يومي,OMR 50Negotiable,"Salalah, Dhofar•",100 SQM,2,2
شقه للإيجار,OMR 50,"Salalah, Dhofar•",525 SQM,3,3
صلالة,OMR 50,"Salalah, Dhofar•",350 SQM,5,4
مطلوب بيت للايجار,Price not mentioned,"Salalah, Dhofar•",300 SQM,2,2
including 75 omr    electric water free,OMR 75,"Al Hail, Muscat•",12 SQM,1,1
Running Mobile shop business for Rent,OMR 140Negotiable,"Ruwi, Muscat•",50 SQM,Not specified,Not specified
Rooms and Bed space for rent,OMR 160,"Khasab, Musandam•",15 SQM,4,3
صلاله عوقد,OMR 75,"Salalah, Dhofar•",600 SQM,6,5
شقق للايجار قنتب 99210906,OMR 160,"Qantab, Muscat•",90 SQM,2,2
شقه واسعه للإيجار,OMR 125,"Al Amarat, Muscat•",120 SQM,2,2
Room for Rent غرفه للإيجار,OMR 90Negotiable,"Al Amarat, Muscat•",40 SQM,1,1
غرفة للإجار نزوى 6 ريال,OMR 10,"Nizwa, Al Dakhiliya•",70 SQM,1,1
شقه مفروشه للايجار,OMR 190,"Al Maabilah, Muscat•",100 SQM,3,2
"Room for rent with attached bathroom and electricity, water, wifi",OMR 115Negotiable,"Qurum, Muscat•",200 SQM,1,1
محلات للاجار في سوق الكامل,OMR 70Negotiable,"Al Kamil and Al Waafi, Al Sharqiya•",32 SQM,Not specified,Not specified
شقق للايجارWadi Kabeer   Flat for rent,OMR 130,"Al Wadi Al Kabir, Muscat•",150 SQM,2,3
شالية العز عروض الافتتاح,OMR 50,"Al Mudaibi, Al Sharqiya•",150 SQM,3,2
room / space for rent,OMR 85,"Bosher, Muscat•",12 SQM,1,1
room rent for bedspace,OMR 40,"Barka, Al Batinah•",303 SQM,2,1
room for rent,OMR 100Negotiable,"Al Khuwair, Muscat•",10 SQM,1,1
غرفة للايجار في نزوى,OMR 10,"Nizwa, Al Dakhiliya•",70 SQM,1,1
"Building , Full Floor for rent","OMR 8,000Negotiable","Qurum, Muscat•",800 SQM,Not specified,Not specified
Studio for rent,OMR 270Negotiable,"Al Ghubrah, Muscat•",32 SQM,1,1
BES SPACE AVAILABLE AT WADI KABIR,OMR 30,"Al Wadi Al Kabir, Muscat•",100 SQM,1,1
"including electricity,water and wifi",OMR 90,"Al Ghubrah, Muscat•",70 SQM,1,1
"New Showrooms nearby Sohar Port for Office, Storage or Shops",OMR 400Negotiable,"Sohar, Al Batinah•",220 SQM,Not specified,Not specified
شقق جديدة للايجار قرب الميناء منطقة الفلج. . . New apartments in Falaj,OMR 130,"Sohar, Al Batinah•",120 SQM,2,2
Room for rent for indian Muslim Family only,OMR 160,"Bosher, Muscat•",10 SQM,1,2
Rooms for rent,OMR 100Negotiable,"Al Khuwair, Muscat•",100 SQM,2,2
bed space available-ghala,OMR 60Negotiable,"Azaiba, Muscat•",25 SQM,2,2
فيلا دورين,OMR 135,"Salalah, Dhofar•",620 SQM,6,5
1 BHK flat in Al Khoudh village,OMR 195,"Al Khoud, Muscat•",95 SQM,1,1
فيلا بتصميم عصري   احجز موعدك لمعاينة,OMR 135,"Al Amarat, Muscat•",600 SQM,7,5
Room for rent with balcony and toilet,OMR 100,"Al Khuwair, Muscat•",45 SQM,1,1
Room for rent,OMR 105,"Al Khuwair, Muscat•",30 SQM,2,2
SHOPS FOR RENT RUSSAIL SANIYA,OMR 80,"Al Rusayl, Muscat•",30 SQM,Not specified,Not specified
Room for rent near centara hotel ghala,OMR 70,"Ghala, Muscat•",70 SQM,1,1
الخوض,OMR 220,"Al Khoud, Muscat•",200 SQM,Not specified,Not specified
Apartment studio for rent in hawana,OMR 50Negotiable,"Salalah, Dhofar•",320 SQM,1,1
Room for sharing,OMR 60,"Al Ghubrah, Muscat•",14 SQM,1,1
room for single family only,OMR 120Negotiable,"Al Hail, Muscat•","1,222 SQM",1,1
مطلوب مزرعه للايجار,OMR 700,"Nizwa, Al Dakhiliya•","2,000 SQM",Not specified,Not specified
Working Lady . or couples only for Phlipenes,OMR 80Negotiable,"Al Khuwair, Muscat•",100 SQM,1,1
Room For rant in wattayh,OMR 70Negotiable,"Qurum, Muscat•",65 SQM,1,1
Rooms and bed space available,OMR 23,"Qurum, Muscat•",10 SQM,1,2
مطلوب شقه ارضيه,Price not mentioned,"Salalah, Dhofar•",200 SQM,2,3
2 BHK in Al Qururm with Electricty and Water Opposite Rose garden,OMR 275,"Qurum, Muscat•",110 SQM,2,2
Al kuwair -1BHK,OMR 125Negotiable,"Al Khuwair, Muscat•",35 SQM,1,1
Juman 1 appartement,"OMR 1,200","The Wave (Almouj), Muscat•",151 SQM,4,3
kids Salon,OMR 10Negotiable,"Qurum, Muscat•",54 SQM,Not specified,Not specified
فيلا فاخرة للايجار اليومي,OMR 100,"Salalah, Dhofar•",600 SQM,3,3
للإيجار اليومي – فلة راقية في عوقد | حي المروج,OMR 130,"Salalah, Dhofar•",800 SQM,7,6
شقة ستوديو الوطية شارع الوكالات,OMR 150,"Muscat - Other, Muscat•",80 SQM,1,1
Searching for a shared room / bed space,OMR 25Negotiable,"Liwa, Al Batinah•",10 SQM,0,1
one bedroom flat  (Studio) Wattayah,OMR 150,"Muscat - Other, Muscat•",80 SQM,1,1
House shiffting service all Muscat oman and Dubai to oman Muscat,OMR 75Negotiable,"Nizwa, Al Dakhiliya•",98 SQM,3,2
House shiffting professional carpenter service,OMR 75Negotiable,"Sohar, Al Batinah•",98 SQM,3,2
